Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-08-23,526.6031494140625,538.4417418614877,523.6709248971505,535.4995340602896,11323900,501.59545837402345,,521.1177127821533,509.76569600586095,11.352016776292317,9.028834975661233,73.9660618794365
2024-08-26,519.7413330078125,526.6031363206736,513.5876732511208,526.2041702012604,9584000,501.944931640625,,520.9059620476394,510.50463208007955,10.401329967559832,9.303333974040953,63.851596832458426
2024-08-27,517.7266235351562,522.6236675283147,513.9466724281382,517.606945881941,6282700,502.24294006347657,,520.4168330457189,511.0395944100852,9.377238635633717,9.318114906359506,65.98171740268899
2024-08-28,515.4127807617188,519.7113753296502,511.09421962835097,516.3003798185057,9106100,502.4454028320313,,519.6469788481804,511.36353413983585,8.283444708344575,9.11118086675652,54.702070656926786
2024-08-29,516.8489379882812,525.8052213752129,514.3156798736528,517.6767591369255,8317400,502.8190106201172,,519.2165110235806,511.7698603508318,7.446650672748774,8.778274827954972,50.324477005914034
2024-08-30,519.9308471679688,522.1549281173368,513.837026073228,519.9707194315399,9157500,503.2101733398438,,519.326408891948,512.374377892842,6.952030999106,8.413026062185178,53.79607212914109
2024-09-03,510.40606689453125,524.0997225062756,507.27435965653467,518.2652239654169,12459100,503.54887451171874,,517.954048584653,512.2285770781523,5.725471506500753,7.875515151048293,37.58145542755381
2024-09-04,511.3834533691406,515.223304093467,502.73640830596844,504.7311169813553,8335200,503.8247418212891,,516.9431877822665,512.1659753219292,4.777212460337296,7.255854612906094,39.499672978389995
2024-09-05,515.4925537109375,520.2499534305978,509.79766890602514,510.36616818924125,8640900,503.949609375,,516.7200133097543,512.4123885359298,4.3076247738245,6.6662086450897755,33.02939594727603
2024-09-06,498.94647216796875,523.1921855093276,496.9318272475794,520.4993164684229,14744500,503.6932891845703,,513.9856223648642,511.4149132494142,2.570709115449972,5.847108739161816,29.735882426022968
2024-09-09,503.45452880859375,509.9772045756239,500.751676509204,504.82089944691495,11047800,503.3986700439453,,512.365454125438,510.82525514268673,1.5401989827512352,4.9857267878797,32.4192600311564
2024-09-10,503.45452880859375,512.8196706618348,498.70711219354445,506.81560821803276,9899000,503.41003967285155,,510.99454253823114,510.27927541423537,0.7152671239957726,4.131634855102915,33.65132667979377
2024-09-11,510.4758605957031,511.76245622202606,494.28881906904013,505.66863578869425,10782500,503.55266052246094,,510.91474531630377,510.29383727952927,0.6209080367744946,3.4294894914372307,32.24775540177389
2024-09-12,524.20947265625,525.3165823557075,513.85692863316,515.6821043146266,11993300,503.87380859375,,512.9600879839878,511.3246250852123,1.635462898775529,3.0706841729048904,45.8491609395679
2024-09-13,523.2320556640625,526.1842465755389,515.7419144489008,518.9634105254878,10321400,504.1662322998047,,514.5403907039993,512.206656979942,2.3337337240573106,2.9232940831353744,47.69438590983927
2024-09-16,532.3765869140625,533.1951441126126,516.5234847252611,523.6513423732874,9527600,504.04413146972655,,517.2844208901629,513.7007258639509,3.5836950262120126,3.055374271750702,58.38004747516945
2024-09-17,535.411376953125,541.1815528247878,529.6711185711189,536.6891766997394,11690800,504.19396545410154,,520.0731833613879,515.3089222409268,4.7642611204611285,3.3971516414927874,61.57242877740367
2024-09-18,537.0386962890625,543.278108456814,532.9955693907114,536.1601821813024,10323500,504.36278259277344,,522.6832622733378,516.9185351333813,5.7647271399565625,3.8706667411855427,64.27972082083639
2024-09-19,558.15283203125,561.1178323859846,545.5941870565406,549.0682722628771,15647000,504.86033142089843,,528.1401191591705,519.9729274961863,8.167191662984123,4.7299717255452585,71.64764072087681
2024-09-20,560.3989868164062,563.5436747416974,555.3575542597183,559.0512982379992,22066800,505.84143920898435,,533.1030218756682,522.9674504087952,10.135571466872989,5.811091673810806,71.39706508802412
2024-09-23,563.4537963867188,573.0075909949846,561.4571846215243,568.535200139111,12830700,507.15951171875,,537.7723718004452,525.9664389997525,11.80593280069263,7.010059899187171,80.10834561961667
2024-09-24,562.3756713867188,566.7881663385376,553.251140972108,565.7199717295323,12993000,508.510078125,,541.557494813718,528.6634191765648,12.89407563715315,8.186863046780367,78.9086394446484
